,object_id,time,flux,flux_err
0,A,10.495,-0.258,0.069
1,A,7.997,0.257,0.069
2,A,0.933,-0.02,0.069
3,A,19.475,0.199,0.069
4,A,4.655,-0.224,0.069
5,A,1.812,0.208,0.069
6,A,12.368,0.108,0.069
7,A,7.649,0.252,0.069
8,B,11.848,0.568,0.126
9,B,0.929,0.027,0.126
10,B,12.151,0.52,0.126
11,B,3.41,-0.064,0.126
12,B,1.301,0.287,0.126
13,B,18.978,-0.558,0.126
14,B,19.313,-0.552,0.126
15,B,16.168,0.443,0.126
16,B,6.092,0.241,0.126
17,B,1.953,0.557,0.126
18,B,13.685,-0.418,0.126
19,C,13.665,0.285,0.09
20,C,12.2,-0.339,0.09
21,C,16.664,-0.342,0.09
22,C,3.467,0.401,0.09
23,C,7.821,0.209,0.09
24,C,3.645,0.362,0.09
25,C,15.107,0.312,0.09
26,C,8.503,0.411,0.09
27,C,4.159,0.178,0.09
28,C,11.354,-0.414,0.09
29,C,0.626,-0.403,0.09
30,C,16.846,-0.388,0.09
31,C,8.995,0.418,0.09
32,C,7.903,0.242,0.09
33,D,11.958,0.206,0.048
34,D,18.437,0.209,0.048
35,D,1.77,-0.22,0.048
36,D,3.92,0.101,0.048
37,D,0.905,-0.144,0.048
38,D,6.507,0.038,0.048
39,D,7.774,-0.191,0.048
40,D,5.427,0.206,0.048
41,D,16.575,0.022,0.048
42,D,7.135,-0.093,0.048
43,D,5.619,0.188,0.048
44,E,5.52,-0.388,0.094
45,E,5.925,-0.363,0.094
46,E,3.305,0.391,0.094
47,E,0.313,-0.292,0.094
48,E,8.468,0.325,0.094
49,E,7.898,0.387,0.094
50,E,5.87,-0.373,0.094
51,E,0.282,-0.281,0.094
52,E,3.977,0.226,0.094
53,E,14.227,-0.129,0.094
54,E,15.804,-0.261,0.094
